,Unnamed: 0,tweet_text,tweet_label,claim,tweet_date,num_hashtags,hashtag_text,has_link,polarity,subjective,pos_words,neg_words,misinfo_words,debunk_words,misinfo_hashtags,debunk_hashtags,hyperpartisan,followers,verified
30,33,@gopleader well know kept refusing wear masks dont probably got someone like louie gohmert gym jordan #TrumpDeathCult #COVIDIOTS #TrumpDeathToll154K,COMMENT,Masks donÕt prevent COVID-19 transmission,"Aug 1, 2020 @ 23:09:35.000",3,TrumpDeathCult COVIDIOTS TrumpDeathToll154K,FALSE,positive,TRUE,3,2,8,8,1,1,0,1736,FALSE
31,34,well well high priest abortilypto cuomocoatyl knows #CoronaHoaxâ masks loyalty oaths #Marxist superstates RULES FOR THEE BUT NOT FOR ME @nygovcuomoðÿ #VoteHimOut #DemocratsAreCorrupt #UsingTaxLawIsNotIllegal,IRRELEVANT,The pandemic is a hoax,"Oct 1, 2020 @ 00:05:55.000",5,CoronaHoaxâ Marxist VoteHimOut DemocratsAreCorrupt UsingTaxLawIsNotIllegal,TRUE,positive,TRUE,4,3,5,4,0,0,0,22729,FALSE
32,35,coronavirus masks made mandatory parts paris infections rise #plandemic #news #trump #NWO #WakeUpAmerica #COVIDãƒ¼19 #COVIDIOTS #COVID19 #coronavirus #BreakingNews #BREAKING,RELEVANT,Lockdowns and face masks do not work to control the COVID-19 pandemic,"Aug 9, 2020 @ 08:38:35.000",11,plandemic news trump NWO WakeUpAmerica COVIDãƒ¼19 COVIDIOTS COVID19 coronavirus BreakingNews BREAKING,TRUE,positive,TRUE,2,1,5,3,8,6,0,88,FALSE
33,36,repeat â #CHINESECoronaVirusHOAX #UnMaskTheHOAX #Controlavirus #StopTheSham #Scamdemic #Plandemic #Covidiots #FuckTheTyrants OPEN UP USA nancy pelosi doesnât wear mask donât need wear masks,MISINFO,Lockdowns and face masks do not work to control the COVID-19 pandemic,"Sep 4, 2020 @ 01:34:41.000",8,CHINESECoronaVirusHOAX UnMaskTheHOAX Controlavirus StopTheSham Scamdemic Plandemic Covidiots FuckTheTyrants,FALSE,neutral,FALSE,1,3,11,8,3,2,0,165,FALSE
34,37,well blame I certainly donât people get sick amp die bunch #COVIDiots wonât #WearAMask ðÿðÿ #Canada come even canadians dont want us cars US plates vandalized americans sneaking across border face fines high six figures,COMMENT,Lockdowns and face masks do not work to control the COVID-19 pandemic,"Aug 9, 2020 @ 22:39:12.000",3,COVIDiots WearAMask Canada,TRUE,negative,TRUE,3,4,22,17,0,0,0,462,FALSE
35,38,unfathomable given #COVIDIOTS attending trump rallies without masks @solusnan1 @rhill41,IRRELEVANT,Masks donÕt prevent COVID-19 transmission,"Sep 22, 2020 @ 13:04:13.000",1,COVIDIOTS,TRUE,neutral,FALSE,0,2,4,4,1,1,0,2530,FALSE
36,39,old photo pandemic I still wouldnt put past jim wear one tulsa shaking hands working trump COVID circus crowd @magabotangel1 masks #COVIDIOTS #GymJordan @jim_jordan,IRRELEVANT,Masks donÕt prevent COVID-19 transmission,"Aug 26, 2020 @ 14:24:57.000",2,COVIDIOTS GymJordan,TRUE,negative,TRUE,0,1,11,8,1,1,0,633,FALSE
37,40,@bgidmxn sleep easy get rid filthy snot rag like fashion face #CovidHoax #Covidiots âœthis week CDC quietly updated covid number admit 6 153504 deaths recorded actually died covid thats 9210 deaths 94 23 serious illnesses amp overwhelming majority advanced ageâ,MISINFO,The pandemic is a hoax,"Aug 30, 2020 @ 17:16:26.000",2,CovidHoax Covidiots,TRUE,positive,TRUE,7,6,20,9,2,1,0,937,FALSE
38,41,darwin award 2020 going fella organizing shit well itâs started masks march cov19 #Scamdemic,COMMENT,Masks donÕt prevent COVID-19 transmission,"Aug 10, 2020 @ 16:13:22.000",1,Scamdemic,TRUE,positive,TRUE,0,1,9,9,1,1,0,1208,FALSE
39,42,@lemontart21 @pinkyroux @channel_clear @nationalpost hoax pandemic might restrictions well face diapers never go away people afraid #chinesevirus put fac3 diaper seal doors inside crawl sofa wait till hoax pandemic,MISINFO,The pandemic is a hoax,"Sep 22, 2020 @ 06:19:25.000",1,chinesevirus,FALSE,negative,TRUE,2,5,16,8,0,0,0,1,FALSE
40,43,WOW first @conservatives MP I heard speak sense matter #covidbriefing #lockdownUK #sixmonths #PlandemicHoax #conservatives #nwo #plandemic #economy @toryboypierce @afneil @leprofmoriarty @simondolan #kbf @rishisunak @aloksharma_rdg bloody sense last #COVID19 #BorisMustGoNow #restrictions #masks,RELEVANT,Lockdowns and face masks do not work to control the COVID-19 pandemic,"Sep 22, 2020 @ 17:47:30.000",13,covidbriefing lockdownUK sixmonths PlandemicHoax conservatives nwo plandemic economy kbf COVID19 BorisMustGoNow restrictions masks,TRUE,positive,TRUE,4,2,4,6,4,3,0,1099,FALSE
41,44,@LNER 1400 kings cross edinburgh people still wearing masks support us implementation Â100 fine #Covid_19 #COVIDIOTS @10downingstreet @borisjohnson #WednesdayThoughts,IRRELEVANT,Masks donÕt prevent COVID-19 transmission,"Aug 19, 2020 @ 14:14:22.000",3,Covid_19 COVIDIOTS WednesdayThoughts,FALSE,positive,TRUE,0,1,6,6,2,2,0,103,FALSE
42,45,insanity 23 MORE YEARS OF QUARANTINE CANADAS TOP DOCTOR LOOK AT WHAT THEY ARE DOING TO OUR CHILDREN #canada #scamdemic #plandemic #COVID19 #QuarantineLife #QuarantineEd #tyranny #COVID__19 #lockstep #newworldorder #masks,MISINFO,Lockdowns and face masks do not work to control the COVID-19 pandemic,"Aug 6, 2020 @ 05:26:35.000",11,canada scamdemic plandemic COVID19 QuarantineLife QuarantineEd tyranny COVID__19 lockstep newworldorder masks,TRUE,negative,TRUE,1,2,1,0,5,4,0,63,FALSE
43,46,chinaâs huawei ZTE face india 5G network exclusion report READ MORE #5G #Applications #CellPhone #Communications #FastInternet #Internet #InternetSpeed #Smartphone #Software #Telecommunications,IRRELEVANT,coronavirus caused by 5G.,"Aug 16, 2020 @ 12:19:21.000",10,5G Applications CellPhone Communications FastInternet Internet InternetSpeed Smartphone Software Telecommunications,TRUE,negative,TRUE,2,0,4,3,1,0,0,18013,FALSE
44,47,@govabbott keeping us partially locked wearing masks mandating vaccines personal profit youre globalist 9210 people yâall #FakePandemic #OpenAmericaNow,MISINFO,Lockdowns and face masks do not work to control the COVID-19 pandemic,"Aug 30, 2020 @ 17:20:24.000",2,FakePandemic OpenAmericaNow,TRUE,positive,TRUE,1,0,9,5,1,0,0,4651,FALSE
45,48,protests across world #COVID psyop fear mongering bullshit hoax #plandemic robert kennedy jr berlin david icke trafalgar square #ScamdemicIsOver people gathering thousands without masks winning yesss slow wireless propagation,MISINFO,The pandemic is a hoax,"Aug 31, 2020 @ 17:03:50.000",3,COVID plandemic ScamdemicIsOver,FALSE,negative,TRUE,3,4,15,7,2,1,0,21,FALSE
46,49,facts become real ignored longer honour admitting wrong stop masks stop lockdowns start waking #COVIDIOTS #COVIDIDIOTS #Scamdemic #lies #lockdown #WakeUp @cravecreative,RELEVANT,Lockdowns and face masks do not work to control the COVID-19 pandemic,"Aug 6, 2020 @ 21:52:22.000",6,COVIDIOTS COVIDIDIOTS Scamdemic lies lockdown WakeUp,TRUE,negative,TRUE,2,2,10,5,5,3,0,271,FALSE
47,50,@dairefeeney @chriswicknews yep bc THIS worked well mr cain ðÿðÿ literally perfect example whatâs meant â ïðÿ #maskitorcasket ðÿ â ï sayinâ anyway #COVIDIOT #COVIDIOTS #COVID19 #coronavirus #GOPCorruptionOverCountry #GOPDeathCult #Science #Health #Life #Masks #maskholes,DEBUNK,Masks donÕt prevent COVID-19 transmission,"Aug 10, 2020 @ 16:09:36.000",12,maskitorcasket COVIDIOT COVIDIOTS COVID19 coronavirus GOPCorruptionOverCountry GOPDeathCult Science Health Life Masks maskholes,TRUE,positive,TRUE,0,0,7,19,4,12,0,2009,FALSE
48,51,@peterbakernyt canadian mainstream media conditioned canadians believe united states done good job dealing #WuhanVirus however come even canadians dont want us cars US plates vandalized americans sneaking across border face fines high six figures,IRRELEVANT,Lockdowns and face masks do not work to control the COVID-19 pandemic,"Aug 10, 2020 @ 21:32:54.000",1,WuhanVirus,TRUE,positive,TRUE,5,3,20,17,1,1,0,764,FALSE
49,52,@doodisgirl wear mask makes constantly TOUCH YOUR FACE I watched kids stores wearing hands face whole time making worse need people use common sense period #Scamdemic,MISINFO,masks are not effective in protecting against disease transmissions and are also harmful,"Aug 4, 2020 @ 23:41:16.000",1,Scamdemic,TRUE,negative,TRUE,6,5,15,11,1,1,0,4852,FALSE
50,53,#CatQueVirus another chinese virus #ChineseVirus chinas ârealme face would unleash disaster make earth red mi come together oppo se jingoism boycott china goods mobile phones,MISINFO,Coronavirus is a bioweapon leaked from a Wuhan lab.,"Sep 29, 2020 @ 18:06:18.000",2,CatQueVirus ChineseVirus,TRUE,negative,TRUE,4,3,11,9,1,0,0,3,FALSE
51,54,public opinion matters doesnt elected us authority anyway end #COVID19 propaganda #scamdemic2020 #COVIDIOTS children forced wear masks school @danwootton,MISINFO,The pandemic is a hoax,"Aug 25, 2020 @ 23:21:04.000",3,COVID19 scamdemic2020 COVIDIOTS,FALSE,negative,TRUE,2,4,10,8,3,2,0,124,FALSE
52,55,tests say cases people wearing masksthey must wearing blindfolds well cant see #Scamdemic one example #Boris wants test entire english population 56m every WEEK cost Â1 BILLION WEEK madness stilts,MISINFO,The pandemic is a hoax,"Sep 8, 2020 @ 14:01:38.000",2,Scamdemic Boris,FALSE,negative,TRUE,4,2,17,12,1,1,0,553,FALSE
53,56,#ChineseVirus #Masks turned us #eyesmilers perfected yet @dbongino @feisty_fl @greggutfeld @ryanafournier @danaperino @erikaariasfox61,IRRELEVANT,Masks donÕt prevent COVID-19 transmission,"Aug 10, 2020 @ 20:46:56.000",3,ChineseVirus Masks eyesmilers,FALSE,positive,TRUE,1,0,3,2,2,1,0,1254,FALSE
54,57,@BFMTV @olivierveran like 49 peerreviewed research papers #Hydroxychloroquine may saved lives french vulnerable ðÿðÿhealth dept blocked drug taking doctors roll stop house calls bullshit political posturing face deaths ðÿ,MISINFO,hydroxychloroquine is effective in healing and preventing COVID-19,"Sep 5, 2020 @ 12:51:03.000",1,Hydroxychloroquine,TRUE,negative,TRUE,3,4,17,8,1,1,0,970,FALSE
55,58,wear face mask WHO officials weigh todays COVID19 briefing 30 mar 2020 healthy general population yes #CoronaVirus #WuhanVirus #COVID19 #CCPVirus #QuikTake qtcovid19119 #BorderObserver,DEBUNK,masks are not effective in protecting against disease transmissions and are also harmful,"Sep 8, 2020 @ 11:17:12.000",6,CoronaVirus WuhanVirus COVID19 CCPVirus QuikTake BorderObserver,TRUE,positive,TRUE,3,1,9,14,5,6,0,16,FALSE
56,59,three gcses well itâs started masks march cov19 #Scamdemic,IRRELEVANT,Masks donÕt prevent COVID-19 transmission,"Aug 10, 2020 @ 18:32:42.000",1,Scamdemic,TRUE,positive,TRUE,0,0,6,6,1,1,0,299,FALSE
57,60,least home much possible wear mask targeting government also responsible spread #COVID__19 responsible citizen safe wear mask maintain social distanceðÿðÿðÿ______ðÿ #COVIDIOTS #Masks,DEBUNK,Masks donÕt prevent COVID-19 transmission,"Sep 13, 2020 @ 07:26:18.000",3,COVID__19 COVIDIOTS Masks,FALSE,positive,TRUE,4,3,16,19,3,3,0,67,FALSE
58,61,must ensure biden well enough face court crimes #BidenGate #ObamaGate ðÿðÿðÿðÿðÿš,IRRELEVANT,Masks donÕt prevent COVID-19 transmission,"Aug 7, 2020 @ 06:48:30.000",2,BidenGate ObamaGate,FALSE,positive,TRUE,1,0,5,4,1,0,0,65,FALSE
59,62,I overheard beautiful lady said âœmen wear masks physically mentally spiritually unattractive ðÿðÿ½ #Mindcontroldevice #plandemic #lawofattraction #Thinkforyourself #mediapropaganda,IRRELEVANT,Masks donÕt prevent COVID-19 transmission,"Aug 21, 2020 @ 11:47:47.000",5,Mindcontroldevice plandemic lawofattraction Thinkforyourself mediapropaganda,TRUE,positive,TRUE,4,4,3,3,1,1,0,9954,FALSE
60,63,considered conduct business face change #construction #IoT #sustainability #AI #5G #cloud #edge #futureofwork #infrastructure #TechDays2020,IRRELEVANT,coronavirus caused by 5G.,"Sep 17, 2020 @ 15:01:19.000",10,construction IoT sustainability AI 5G cloud edge futureofwork infrastructure TechDays2020,TRUE,neutral,FALSE,2,0,3,2,1,0,0,12272,FALSE
61,64,masks appears democrats living perpetuating fear hmm I wonder ðÿ #Plandemic tonight long awaited thrill I finally met amp spoke @realdonaldtrump offered tremendous praise amp even went around several tables nearby amp lauded amp #WalkAway kind amp warm amp even shared laughs together incredible moment TY POTUS,RELEVANT,The pandemic is a hoax,"Aug 26, 2020 @ 16:43:20.000",2,Plandemic WalkAway,TRUE,positive,TRUE,8,5,21,13,1,0,0,43,FALSE
62,65,@skynews would say strike fear people fck experts lockdown masks vaccine #plandemic #sackcreepywhitty,MISINFO,The pandemic is a hoax,"Sep 20, 2020 @ 15:16:55.000",2,plandemic sackcreepywhitty,FALSE,negative,TRUE,1,2,7,7,1,1,0,25,FALSE
63,66,common sense science D D D sheep come shape forms #KBF #COVIDIOTS @move4l @nmwdesign @metpoliceevents 10 arrests 4 officers injured utter thuggery people going die refusal wear masks common sense science wear mask ask doctor,DEBUNK,Masks donÕt prevent COVID-19 transmission,"Sep 26, 2020 @ 17:34:25.000",2,KBF COVIDIOTS,FALSE,negative,TRUE,5,7,17,26,1,2,0,27,FALSE
64,67,thereâs money behind drug according ðÿ money âfar rightâ money advances treatment postponed radical left money found financing pro#hydroxychloroquine campaign dont need masks cure videos farright efforts backed millions dollars production funds reopening economy,DEBUNK,hydroxychloroquine is effective in healing and preventing COVID-19,"Aug 3, 2020 @ 08:52:38.000",1,hydroxychloroquine,TRUE,negative,TRUE,2,2,19,33,1,1,0,3085,FALSE
65,68,must see video ðÿðÿƒðÿ maybe little top lot proven #MaskUp #maskuphoosiers #COVID19 #COVIDIOTS putting 10 masks amp running 1 km 100ÂF heat smoking prov,DEBUNK,Masks donÕt prevent COVID-19 transmission,"Aug 5, 2020 @ 00:52:45.000",4,MaskUp maskuphoosiers COVID19 COVIDIOTS,TRUE,positive,TRUE,1,1,11,19,3,4,0,22,FALSE
66,69,#MasksSaveLives nope #Michigan #recallwhitmer @govwhitmer loves kill michigander case masks taken another body blow seeing large spikes heavy mask wearing countries like japan philippines #Plandemic #Scamdemic,MISINFO,masks are not effective in protecting against disease transmissions and are also harmful,"Aug 5, 2020 @ 13:28:08.000",5,MasksSaveLives Michigan recallwhitmer Plandemic Scamdemic,TRUE,positive,TRUE,2,1,12,10,2,1,0,1416,FALSE
67,70,hate ðÿ yâall stupid âï unable find science supporting lockdowns social distancing 6 ft vs 3 ft vs 30 ft masks working #coronavirus shutting schools destroying economies stop virus etc #Hydroxychloroquine #ConstitutionOverCoronavirus,COMMENT,Lockdowns and face masks do not work to control the COVID-19 pandemic,"Aug 1, 2020 @ 20:33:39.000",3,coronavirus Hydroxychloroquine ConstitutionOverCoronavirus,FALSE,negative,TRUE,2,3,24,14,3,2,0,69,FALSE
68,71,TAKE THE MUZZLES OFF well itâs started masks march cov19 #Scamdemic,RELEVANT,Masks donÕt prevent COVID-19 transmission,"Aug 10, 2020 @ 11:52:00.000",1,Scamdemic,TRUE,positive,TRUE,0,1,6,6,1,1,0,3626,FALSE
69,72,brookfield square white suburban medical team spreading lies covid #COVIDIOTS dozens protest wisconsins face mask mandate,DEBUNK,Masks donÕt prevent COVID-19 transmission,"Aug 2, 2020 @ 13:11:55.000",1,COVIDIOTS,TRUE,negative,TRUE,1,1,7,12,1,1,0,42,FALSE
